mana_cost1,name1,type_line0,mana_cost0,type_line1,oracle_text0,name0,oracle_text1
,,Legendary Creature — Faerie Rogue,{G}{U},,"Flying
Whenever a player casts a spell that targets only a single creature other than Ivy, Gleeful Spellthief, you may copy that spell. The copy targets Ivy. (A copy of an Aura spell becomes a token.)","Ivy, Gleeful Spellthief",
,,Legendary Planeswalker — Jace,{2}{U}{U/P},,"Compleated ({U/P} can be paid with {U} or 2 life. If life was paid, this planeswalker enters with two fewer loyalty counters.)
+1: Until your next turn, up to one target creature gets -3/-0.
-2: Target player mills three cards. Then if a graveyard has twenty or more cards in it, you draw three cards. Otherwise, you draw a card.
-X: Target player mills three times X cards.","Jace, the Perfected Mind",
,,Artifact — Equipment,{1}{R},,"Equipped creature gets +2/+0.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",Jackhammer,
,,Artifact,{1},,"{1}, {T}, Sacrifice Jack-o'-Lantern: Exile up to one target card from a graveyard. Draw a card.
{1}, Exile Jack-o'-Lantern from your graveyard: Add one mana of any color.",Jack-o'-Lantern,
,Hauken's Insight,Legendary Creature — Human Advisor,{1}{U},Legendary Enchantment,"{T}: Draw a card, then exile a card from your hand face down. You may look at that card for as long as it remains exiled. You may pay {4}{U}{U}. If you do, transform Jacob Hauken, Inspector.","Jacob Hauken, Inspector","At the beginning of your upkeep, exile the top card of your library face down. You may look at that card for as long as it remains exiled.
Once during each of your turns, you may play a land or cast a spell from among the cards exiled with this permanent without paying its mana cost."
,,Legendary Creature — Human Wizard,{1}{B},,"At the beginning of your end step, if you control no creatures with decayed, create a 2/2 black Zombie creature token with decayed. (It can't block. When it attacks, sacrifice it at end of combat.)","Jadar, Ghoulcaller of Nephalia",
,,Creature — Phyrexian Soldier,{1}{W},,"Double strike
Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)",Jawbone Duelist,
,,Legendary Creature — Human Warrior,{3}{R},,"{R}, {T}, Discard a card: Create a token that's a copy of another target creature you control. It gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step. Activate only as a sorcery.
Blitz {1}{R} (If you cast this spell for its blitz cost, it gains haste and ""When this creature dies, draw a card."" Sacrifice it at the beginning of the next end step.)","Jaxis, the Troublemaker",
,,Legendary Planeswalker — Jaya,{2}{R}{R},,"+1: Create a 1/1 red Monk creature token with prowess.
-1: Exile the top two cards of your library. Choose one of them. You may play that card this turn.
-2: Choose target creature an opponent controls. Whenever you attack this turn, Jaya, Fiery Negotiator deals damage equal to the number of attacking creatures to that creature.
-8: You get an emblem with ""Whenever you cast a red instant or sorcery spell, copy it twice. You may choose new targets for the copies.""","Jaya, Fiery Negotiator",
,,Sorcery,{4}{R},,Jaya's Firenado deals 5 damage to target creature or planeswalker. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.),Jaya's Firenado,
,"Ormendahl, the Corrupter",Legendary Creature — Human Cleric,{2}{B},Legendary Creature — Demon,"Whenever Jerren, Corrupted Bishop enters the battlefield or another nontoken Human you control dies, you lose 1 life and create a 1/1 white Human creature token.
{2}: Target Human you control gains lifelink until end of turn.
At the beginning of your end step, if you have exactly 13 life, you may pay {4}{B}{B}. If you do, transform Jerren.","Jerren, Corrupted Bishop","Flying, trample, lifelink
Sacrifice another creature: Draw a card."
,,Legendary Creature — Cat Demon,{1}{R}{G}{W},,"Creatures you control get +1/+0 and have vigilance as long as you control three or more creatures.
Creatures you control also get +1/+0 and have trample as long as you control six or more creatures.
Creatures you control also get +1/+0 and have double strike as long as you control nine or more creatures.","Jetmir, Nexus of Revels",
,,Creature — Cat Warrior,{R}{G},,"{R}{G}: Jetmir's Fixer gets +1/+1 until end of turn. If mana from a Treasure was spent to activate this ability, put a +1/+1 counter on Jetmir's Fixer instead.",Jetmir's Fixer,
,,Land — Mountain Forest Plains,,,"({T}: Add {R}, {G}, or {W}.)
Jetmir's Garden enters the battlefield tapped.
Cycling {3} ({3}, Discard this card: Draw a card.)",Jetmir's Garden,
,,Creature — Cat Rogue,{2}{G},,"Vigilance, trample
When Jewel Thief enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",Jewel Thief,
,,Legendary Creature — Human Artificer,{U}{R},,"{T}: Put two ingenuity counters on Jhoira, Ageless Innovator, then you may put an artifact card with mana value X or less from your hand onto the battlefield, where X is the number of ingenuity counters on Jhoira.","Jhoira, Ageless Innovator",
,,Legendary Creature — Phyrexian Praetor,{5}{U}{U},,"Whenever you cast an artifact, instant, or sorcery spell, copy that spell. You may choose new targets for the copy. This ability triggers only once each turn. (A copy of a permanent spell becomes a token.)
Whenever an opponent casts an artifact, instant, or sorcery spell, counter that spell. This ability triggers only once each turn.","Jin-Gitaxias, Progress Tyrant",
,The Great Synthesis,Legendary Creature — Phyrexian Praetor,{3}{U}{U},Enchantment — Saga,"Ward {2}
Whenever you cast a noncreature spell with mana value 3 or greater, draw a card.
{3}{U}: Exile Jin-Gitaxias, then return it to the battlefield transformed under its owner's control. Activate only as a sorcery and only if you have seven or more cards in hand.",Jin-Gitaxias,"(As this Saga enters and after your draw step, add a lore counter.)
I — Draw cards equal to the number of cards in your hand. You have no maximum hand size for as long as you control The Great Synthesis.
II — Return all non-Phyrexian creatures to their owners' hands.
III — You may cast any number of spells from your hand without paying their mana costs. Exile The Great Synthesis, then return it to the battlefield (front face up)."
,,Legendary Creature — Elf Druid,{R/G}{G}{G/W},,"If you would create one or more tokens, you may instead create that many 2/2 green Cat creature tokens with haste or that many 3/1 green Dog creature tokens with vigilance.","Jinnie Fay, Jetmir's Second",
,,Legendary Creature — Human Soldier,{W}{B},,"When Jirina, Dauntless General enters the battlefield, exile target player's graveyard.
Sacrifice Jirina: Humans you control gain hexproof and indestructible until end of turn.","Jirina, Dauntless General",
,,Artifact,{5},,"Domain — {5}, {T}: Draw a card. This ability costs {1} less to activate for each basic land type among lands you control.",Jodah's Codex,
,,Legendary Creature — Human Wizard,{W}{U}{B}{R}{G},,"Legendary creatures you control get +X/+X, where X is the number of legendary creatures you control.
Whenever you cast a legendary spell from your hand, exile cards from the top of your library until you exile a legendary nonland card with lesser mana value. You may cast that card without paying its mana cost. Put the rest on the bottom of your library in a random order.","Jodah, the Unifier",
,,Instant,{2}{W},,Untap up to two target creatures. They each get +2/+2 until end of turn.,Join Forces,
,,Instant,{1}{U},,"Kicker {G} (You may pay an additional {G} as you cast this spell.)
Scry 2, then draw a card. If this spell was kicked, you may put a land card from your hand onto the battlefield.",Joint Exploration,
,,Sorcery,{G}{W},,"Create two 1/1 white Human creature tokens.
Flashback {3}{G}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",Join the Dance,
,,Sorcery,{4}{B},,"Casualty 2 (As you cast this spell, you may sacrifice a creature with power 2 or greater. When you do, copy this spell.)
Create a 4/3 black Ogre Warrior creature token.",Join the Maestros,
,,Legendary Creature — Human Druid,{2}{G}{U},,"At the beginning of combat on your turn, up to one target land you control becomes an X/X green and blue Bird creature with flying and haste until end of turn, where X is the number of cards in your hand. It's still a land.
Whenever a land creature you control deals combat damage to a player, draw a card.","Jolrael, Voice of Zhalfir",
,,Legendary Creature — Human Rebel,{R}{W},,"Trample
Whenever Jor Kadeen, First Goldwarden attacks, it gets +X/+X until end of turn, where X is the number of equipped creatures you control. Then if Jor Kadeen's power is 4 or greater, draw a card.","Jor Kadeen, First Goldwarden",
,,Creature — Human Shaman,{3}{U}{R},,"When Joyful Stormsculptor enters the battlefield, create two 1/1 blue and red Elemental creature tokens.
Whenever you cast a spell that has convoke, Joyful Stormsculptor deals 1 damage to each opponent and each battle they protect.",Joyful Stormsculptor,
,Remnant of the Rising Star,Enchantment — Saga,{2}{G},Enchantment Creature — Dragon Spirit,"(As this Saga enters and after your draw step, add a lore counter.)
I — Create a 1/1 green Human Monk creature token with ""{T}: Add {G}.""
II — Put a +1/+1 counter on each of up to two target creatures.
III — Exile this Saga, then return it to the battlefield transformed under your control.",Jugan Defends the Temple,"Flying
Whenever another creature enters the battlefield under your control, you may pay {X}. When you do, put X +1/+1 counters on that creature.
As long as you control five or more modified creatures, Remnant of the Rising Star gets +5/+5 and has trample. (Equipment, Auras you control, and counters are modifications.)"
,,Enchantment Creature — Human Monk,{G}{W},,"Lifelink
Enchantment spells you cast cost {1} less to cast.",Jukai Naturalist,
,,Enchantment Creature — Human Druid,{3}{G},,"When Jukai Preserver enters the battlefield, put a +1/+1 counter on target creature you control.
Channel — {2}{G}, Discard Jukai Preserver: Put a +1/+1 counter on each of up to two target creatures you control.",Jukai Preserver,
,,Creature — Human Samurai,{1}{G},,"Whenever Jukai Trainee blocks or becomes blocked, it gets +1/+1 until end of turn.",Jukai Trainee,
,,Land,,,"Jungle Hollow enters the battlefield tapped.
When Jungle Hollow enters the battlefield, you gain 1 life.
{T}: Add {B} or {G}.",Jungle Hollow,
,,Creature — Human Druid,{1}{W},,"Kicker {G} (You may pay an additional {G} as you cast this spell.)
When Juniper Order Rootweaver enters the battlefield, if it was kicked, put a +1/+1 counter on target creature you control.",Juniper Order Rootweaver,
,,Legendary Creature — Dragon Spirit,{3}{B}{B},,"Flying, menace
When Junji, the Midnight Sky dies, choose one —
• Each opponent discards two cards and loses 2 life.
• Put target non-Dragon creature card from a graveyard onto the battlefield under your control. You lose 2 life.","Junji, the Midnight Sky",
,,Creature — Human Artificer,{1}{B}{R},,"When Junkyard Genius enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")
{1}{B}{R}, Sacrifice another creature or artifact: Until end of turn, other creatures you control get +1/+0 and gain menace and haste.",Junkyard Genius,
,,Legendary Creature — Dragon Spirit,{4}{U}{U},,"Flying, ward {3}
When Kairi, the Swirling Sky dies, choose one —
• Return any number of target nonland permanents with total mana value 6 or less to their owners' hands.
• Mill six cards, then return up to two instant and/or sorcery cards from your graveyard to your hand.","Kairi, the Swirling Sky",
,,Legendary Planeswalker — Kaito,{2}{U}{B},,"Whenever one or more creatures you control deal combat damage to a player, you may return one of them to its owner's hand. If you do, you may activate loyalty abilities of Kaito twice this turn rather than only once.
+1: Up to one target creature can't attack or block until your next turn.
0: Draw a card.
-2: Create a 2/2 colorless Drone artifact creature token with deathtouch and ""When this creature leaves the battlefield, each opponent loses 2 life and you gain 2 life.""","Kaito, Dancing Shadow",
,,Legendary Planeswalker — Kaito,{1}{U}{B},,"At the beginning of your end step, if Kaito Shizuki entered the battlefield this turn, he phases out.
+1: Draw a card. Then discard a card unless you attacked this turn.
-2: Create a 1/1 blue Ninja creature token with ""This creature can't be blocked.""
-7: You get an emblem with ""Whenever a creature you control deals combat damage to a player, search your library for a blue or black creature card, put it onto the battlefield, then shuffle.""",Kaito Shizuki,
,,Sorcery,{2}{B},,Target player discards two cards. Ninjas and Rogues you control gain menace until end of turn. (They can't be blocked except by two or more creatures.),Kaito's Pursuit,
,,Creature — Spirit,{4}{R},,"When Kami of Industry enters the battlefield, return target artifact card with mana value 3 or less from your graveyard to the battlefield. It gains haste. Sacrifice it at the beginning of the next end step.",Kami of Industry,
,,Creature — Spirit,{4}{B},,"When Kami of Restless Shadows enters the battlefield, choose one —
• Return up to one target Ninja or Rogue creature card from your graveyard to your hand.
• Put target creature card from your graveyard on top of your library.",Kami of Restless Shadows,
,,Creature — Spirit,{3}{B},,"When Kami of Terrible Secrets enters the battlefield, if you control an artifact and an enchantment, you draw a card and you gain 1 life.",Kami of Terrible Secrets,
,,Creature — Spirit,{1}{G},,"Trample
Whenever you cast an enchantment spell, put a +1/+1 counter on Kami of Transience.
At the beginning of each end step, if an enchantment was put into your graveyard from the battlefield this turn, you may return Kami of Transience from your graveyard to your hand.",Kami of Transience,
,,Creature — Spirit,{2}{G},,"If one or more +1/+1 counters would be put on a permanent you control, that many plus one +1/+1 counters are put on that permanent instead.
{T}: Add X mana of any one color, where X is Kami of Whispered Hopes's power.",Kami of Whispered Hopes,
,,Instant,{1}{R},,"Kami's Flare deals 3 damage to target creature or planeswalker. Kami's Flare also deals 2 damage to that permanent's controller if you control a modified creature. (Equipment, Auras you control, and counters are modifications.)",Kami's Flare,
,,Creature — Turtle Ninja,{1}{G},,"Ninjutsu {1}{G}
Kappa Tech-Wrecker enters the battlefield with a deathtouch counter on it.
Whenever Kappa Tech-Wrecker deals combat damage to a player, you may remove a deathtouch counter from it. When you do, exile target artifact or enchantment that player controls.",Kappa Tech-Wrecker,
,,Legendary Artifact Creature — Golem,{5},,"Karn, Legacy Reforged's power and toughness are each equal to the greatest mana value among artifacts you control.
At the beginning of your upkeep, add {C} for each artifact you control. This mana can't be spent to cast nonartifact spells. Until end of turn, you don't lose this mana as steps and phases end.","Karn, Legacy Reforged",
,,Legendary Planeswalker — Karn,{4},,"+1: Create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")
-1: Pay any amount of mana. Look at that many cards from the top of your library, then put one of those cards into your hand and the rest on the bottom of your library in a random order.
-7: You get an emblem with ""Tap an untapped artifact you control: This emblem deals 1 damage to any target.""","Karn, Living Legacy",
,,Legendary Artifact,{3},,"Karn's Sylex enters the battlefield tapped.
Players can't pay life to cast spells or to activate abilities that aren't mana abilities.
{X}, {T}, Exile Karn's Sylex: Destroy each nonland permanent with mana value X or less. Activate only as a sorcery.",Karn's Sylex,
,,Land,,,"{T}: Add {C}.
{T}: Add {R} or {G}. Karplusan Forest deals 1 damage to you.",Karplusan Forest,
,,Creature — Viashino Warrior,{2}{R},,"Defender
As long as Karsus Depthguard's power is 5 or greater, it can attack as though it didn't have defender.",Karsus Depthguard,
,,Legendary Creature — Phyrexian Rat,{1}{B}{B},,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
Other Rats you control have toxic 1.
When Karumonix enters the battlefield, look at the top five cards of your library. You may reveal any number of Rat cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in a random order.","Karumonix, the Rat King",
,Katilda's Rising Dawn,Legendary Creature — Spirit Warlock,{1}{W}{W},Legendary Enchantment — Aura,"Flying, lifelink, protection from Vampires
Katilda, Dawnhart Martyr's power and toughness are each equal to the number of permanents you control that are Spirits and/or enchantments.
Disturb {3}{W}{W} (You may cast this card from your graveyard transformed for its disturb cost.)","Katilda, Dawnhart Martyr","Enchant creature
Enchanted creature has flying, lifelink, and protection from Vampires, and it gets +X/+X, where X is the number of permanents you control that are Spirits and/or enchantments.
If Katilda's Rising Dawn would be put into a graveyard from anywhere, exile it instead."
,,Legendary Creature — Human Warlock,{G}{W},,"Protection from Werewolves
Human creatures you control have ""{T}: Add one mana of any of this creature's colors.""
{4}{G}{W}, {T}: Put a +1/+1 counter on each creature you control.","Katilda, Dawnhart Prime",
,,Legendary Planeswalker — Kaya,{1}{W}{B},,"+1: Creatures you control gain deathtouch until end of turn. Put a +1/+1 counter on up to one target creature token you control.
-2: Until end of turn, if one or more tokens would be created under your control, twice that many of those tokens are created instead.
-6: Exile all cards from all graveyards, then create a 1/1 white Spirit creature token with flying for each card exiled this way.","Kaya, Geist Hunter",
,,Legendary Planeswalker — Kaya,{3}{W}{W}{B}{B},,"Hexproof
+2: Each opponent loses 3 life and you gain 3 life.
0: You draw two cards. Then each opponent may scry 1.
-3: Exile target creature or enchantment. If it wasn't an Aura, create a token that's a copy of it, except it's a 1/1 white Spirit creature with flying in addition to its other types.","Kaya, Intangible Slayer",
,,Sorcery,{1}{W}{W},,"Choose two —
• Create a 2/2 colorless Construct artifact creature token.
• Put a +1/+1 counter on a creature you control. It gains double strike until end of turn.
• Search your library for a basic Plains card, reveal it, put it into your hand, then shuffle.
• You gain 2 life and scry 2.",Kayla's Command,
,,Sorcery,{X}{W}{W}{W},,Look at the top seven cards of your library. Put up to X artifact and/or creature cards with mana value 3 or less from among them onto the battlefield. Put the rest on the bottom of your library in a random order.,Kayla's Reconstruction,
,,Creature — Human Wizard,{4}{U},,"{3}: Put target artifact, instant, or sorcery card from a graveyard on the bottom of its owner's library.",Keeper of the Cadence,
,,Creature — Human Shaman,{2}{R},,"Enlist
Whenever Keldon Flamesage attacks, look at the top X cards of your library, where X is Keldon Flamesage's power. You may exile an instant or sorcery card with mana value X or less from among them. Put the rest on the bottom of your library in a random order. You may cast the exiled card without paying its mana cost.",Keldon Flamesage,
,,Creature — Human Warrior,{2}{R},,"Kicker {1}{W} (You may pay an additional {1}{W} as you cast this spell.)
When Keldon Strike Team enters the battlefield, if it was kicked, create two 1/1 white Soldier creature tokens.
As long as Keldon Strike Team entered the battlefield this turn, creatures you control have haste.",Keldon Strike Team,
,,Legendary Creature — Cat Cleric,{1}{W},,"Whenever Kemba, Kha Enduring or another Cat enters the battlefield under your control, attach up to one target Equipment you control to that creature.
Equipped creatures you control get +1/+1.
{3}{W}{W}: Create a 2/2 white Cat creature token.","Kemba, Kha Enduring",
,,Creature — Human Shaman,{1}{R},,"Whenever you cast a noncreature spell, Kessig Flamebreather deals 1 damage to each opponent.",Kessig Flamebreather,
,Lord of the Ulvenwald,Creature — Human Werewolf,{R}{G},Creature — Werewolf,"Whenever Kessig Naturalist attacks, add {R} or {G}. Until end of turn, you don't lose this mana as steps and phases end.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Kessig Naturalist,"Other Wolves and Werewolves you control get +1/+1.
Whenever Lord of the Ulvenwald attacks, add {R} or {G}. Until end of turn, you don't lose this mana as steps and phases end.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
,,Creature — Human Knight,{R},,"Menace
{2}{R}, {T}, Exile three cards from your graveyard: Create a 3/2 red Wolf creature token.",Kessig Wolfrider,
,,Legendary Creature — Phyrexian Beast,{2}{B}{R},,"At the beginning of your end step, you may sacrifice another creature. If you do, reveal cards from the top of your library until you reveal a nonlegendary creature card with lesser mana value, put it onto the battlefield, then put the rest on the bottom of your library in a random order.","Kethek, Crucible Goliath",
,Gitaxian Spellstalker,Creature — Jackal Warrior,{1}{R},Creature — Phyrexian Jackal,"Trample
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
{3}{U/P}: Transform Khenra Spellspear. Activate only as a sorcery. ({U/P} can be paid with either {U} or 2 life.)",Khenra Spellspear,"Trample, ward {2}, prowess, prowess (Each instance of prowess triggers separately.)"
,,Instant,{2}{W},,Destroy target attacking creature.,Kill Shot,
,,Creature — Human Soldier,{2}{B},,"Whenever Kill-Zone Acrobat attacks, you may sacrifice another creature or artifact. If you do, Kill-Zone Acrobat gains flying until end of turn.",Kill-Zone Acrobat,
,,Instant,{R},,Target creature gets +1/+0 and gains first strike until end of turn.,Kindled Fury,
,Ancestor's Embrace,Creature — Spirit,{2}{W},Enchantment — Aura,"Lifelink
Disturb {1}{W} (You may cast this card from your graveyard transformed for its disturb cost.)",Kindly Ancestor,"Enchant creature
Enchanted creature has lifelink.
If Ancestor's Embrace would be put into a graveyard from anywhere, exile it instead."
,,Legendary Creature — Human Soldier,{1}{G}{W},,"Other creatures you control get +1/+1.
{3}{G}{W}: Put a +1/+1 counter on King Darien and create a 1/1 white Soldier creature token.
Sacrifice King Darien: Creature tokens you control gain hexproof and indestructible until end of turn.",King Darien XLVIII,
,,Legendary Creature — Phyrexian Vampire,{4}{B},,"Flying
Whenever another nontoken creature you control dies, you may pay 2 life and exile it. If you do, create a token that's a copy of that creature, except it's 1/1 and has toxic 1. (Players dealt combat damage by it also get a poison counter.)",Kinzu of the Bleak Coven,
,,Legendary Creature — Merfolk Noble,{3}{G}{U},,"Vigilance, ward {3}
Whenever you cast a Kraken, Leviathan, Octopus, or Serpent spell from your hand, look at the top X cards of your library, where X is that spell's mana value. You may cast a spell with mana value less than X from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.","Kiora, Sovereign of the Deep",
,,Artifact — Equipment,{2},,"Equipped creature gets +1/+0 and has flying.
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)",Kitesail,
,,Creature — Kithkin Knight,{2}{W},,Double strike,Kithkin Billyrider,
,,Creature — Fox Pilot,{1}{W},,"Whenever a Vehicle you control attacks, choose one —
• That Vehicle gains first strike until end of turn.
• Untap Kitsune Ace.",Kitsune Ace,
,,Creature — Human Knight,{4}{W},,"Convoke
When Knight-Errant of Eos enters the battlefield, look at the top six cards of your library. You may reveal up to two creature cards with mana value X or less from among them, where X is the number of creatures that convoked Knight-Errant of Eos. Put the revealed cards into your hand, then shuffle.",Knight-Errant of Eos,
,,Creature — Human Knight,{1}{W},,"First strike
If you would gain life, you gain that much life plus 1 instead.
{1}{W}: Knight of Dawn's Light gets +1/+1 until end of turn.",Knight of Dawn's Light,
,,Creature — Human Knight,{1}{B},,"Menace (This creature can't be blocked except by two or more creatures.)
Your opponents can't gain life.
{1}{B}: Knight of Dusk's Shadow gets +1/+1 until end of turn.",Knight of Dusk's Shadow,
,,Creature — Human Knight,{3}{W},,"Vigilance
When Knight of the New Coalition enters the battlefield, create a 2/2 white and blue Knight creature token with vigilance.",Knight of the New Coalition,
,,Instant,{2}{W},,"This spell costs {2} less to cast if it targets a red creature.
Knockout Blow deals 4 damage to target attacking or blocking creature and you gain 2 life.",Knockout Blow,
,,Legendary Creature — Spirit,{2}{G},,"Reach
Modified creatures you control have trample. (Equipment, Auras you control, and counters are modifications.)
Whenever a modified creature you control deals combat damage to a player, search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",Kodama of the West Tree,
,,Legendary Creature — Ape Dinosaur Turtle,{2}{R}{R}{G}{G},,"When Kogla and Yidaro enters the battlefield, choose one —
• It gains trample and haste until end of turn.
• It fights target creature you don't control.
{2}{R}{G}, Discard Kogla and Yidaro: Destroy up to one target artifact or enchantment. Shuffle Kogla and Yidaro into your library from your graveyard, then draw a card.",Kogla and Yidaro,
,,Creature — Bird,{4}{U},,"Flash
Flying
When Koilos Roc enters the battlefield, create a tapped Powerstone token. (It's an artifact with ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell."")",Koilos Roc,
,,Creature — Ogre Warrior,{2}{R},,"Haste
Whenever Kolaghan Warmonger attacks, look at the top six cards of your library. You may reveal a Dragon card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",Kolaghan Warmonger,
,,Artifact — Equipment,{W},,"Equipped creature gets +1/+1 and has vigilance.
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",Kor Halberd,
,,Legendary Planeswalker — Koth,{2}{R}{R},,"+2: Search your library for a basic Mountain card, reveal it, put it into your hand, then shuffle.
-3: Koth, Fire of Resistance deals damage to target creature equal to the number of Mountains you control.
-7: You get an emblem with ""Whenever a Mountain enters the battlefield under your control, this emblem deals 4 damage to any target.""","Koth, Fire of Resistance",
,,Legendary Creature — Human Ninja,{3}{U}{B},,"When Kotose, the Silent Spider enters the battlefield, exile target card other than a basic land card from an opponent's graveyard. Search that player's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles. For as long as you control Kotose, you may play one of the exiled cards, and you may spend mana as though it were mana of any color to cast it.","Kotose, the Silent Spider",
,,Legendary Creature — Elder Giant Dog,{3}{R}{W}{B},,"Vigilance, menace, lifelink
Whenever Kroxa and Kunoros enters the battlefield or attacks, you may exile five cards from your graveyard. When you do, return target creature card from your graveyard to the battlefield.",Kroxa and Kunoros,
,,Creature — Phyrexian Hyena,{2}{R},,"Trample
Whenever Kuldotha Cackler attacks, it gets +X/+0 until end of turn, where X is the number of permanents you control with oil counters on them.",Kuldotha Cackler,
,Etching of Kumano,Enchantment — Saga,{R},Enchantment Creature — Human Shaman,"(As this Saga enters and after your draw step, add a lore counter.)
I — Kumano Faces Kakkazan deals 1 damage to each opponent and each planeswalker they control.
II — When you cast your next creature spell this turn, that creature enters the battlefield with an additional +1/+1 counter on it.
III — Exile this Saga, then return it to the battlefield transformed under your control.",Kumano Faces Kakkazan,"Haste
If a creature dealt damage this turn by a source you controlled would die, exile it instead."
,,Legendary Creature — Dragon Spirit,{3}{G}{G},,"Flying, deathtouch
When Kura, the Boundless Sky dies, choose one —
• Search your library for up to three land cards, reveal them, put them into your hand, then shuffle.
• Create an X/X green Spirit creature token, where X is the number of lands you control.","Kura, the Boundless Sky",
,,Legendary Creature — Dragon Spirit,{3}{W},,"Flash
Flying
When Kyodai, Soul of Kamigawa enters the battlefield, another target permanent gains indestructible for as long as you control Kyodai.
{W}{U}{B}{R}{G}: Kyodai gets +5/+5 until end of turn.","Kyodai, Soul of Kamigawa",
,,Sorcery,{4}{R},,"Lacerate Flesh deals 4 damage to target creature. Create a number of Blood tokens equal to the amount of excess damage dealt to that creature this way. (They're artifacts with ""{1}, {T}, Discard a card, Sacrifice this artifact: Draw a card."")",Lacerate Flesh,
,,Legendary Creature — Human Shaman,{1}{B}{R},,"At the beginning of combat on your turn, create a 2/1 red Elemental creature token with trample and haste. Sacrifice it at the beginning of the next end step.
{T}: Search your library for a card, put it into your hand, then shuffle. Activate only if five or more creatures died this turn.","Lagomos, Hand of Hatred",
,,Legendary Creature — Human Soldier,{G}{W}{U},,"When Lagrella, the Magpie enters the battlefield, exile any number of other target creatures controlled by different players until Lagrella leaves the battlefield. When an exiled card enters the battlefield under your control this way, put two +1/+1 counters on it.","Lagrella, the Magpie",
,,Enchantment,{3}{G},,"Whenever a Human you control dies, draw a card.
Whenever a creature you control with a +1/+1 counter on it dies, you gain 2 life.",Laid to Rest,
,,Creature — Wolf,{1}{R},,{3}{R}: Target creature can't block this turn.,Lambholt Harrier,
,Lambholt Ravager,Creature — Human Werewolf,{3}{R},Creature — Werewolf,"Whenever you cast a noncreature spell, Lambholt Raconteur deals 1 damage to each opponent.
Daybound (If a player casts no spells during their own turn, it becomes night next turn.)",Lambholt Raconteur,"Whenever you cast a noncreature spell, Lambholt Ravager deals 2 damage to each opponent.
Nightbound (If a player casts at least two spells during their own turn, it becomes day next turn.)"
,Lanterns' Lift,Creature — Spirit,{U},Enchantment — Aura,"Flying
Disturb {2}{U} (You may cast this card from your graveyard transformed for its disturb cost.)",Lantern Bearer,"Enchant creature
Enchanted creature gets +1/+1 and has flying.
If Lanterns' Lift would be put into a graveyard from anywhere, exile it instead."
,,Instant,{1}{W},,"Cleave {X}{R}{W} (You may cast this spell for its cleave cost. If you do, remove the words in square brackets.)
Lantern Flare deals X damage to target creature or planeswalker and you gain X life. [X is the number of creatures you control.]",Lantern Flare,
,,Artifact,{1},,"When Lantern of the Lost enters the battlefield, exile target card from a graveyard.
{1}, {T}, Exile Lantern of the Lost: Exile all cards from all graveyards, then draw a card.",Lantern of the Lost,
,,Creature — Zombie,{U},,"Defender
Tap three untapped creatures you control: Surveil 1. (Look at the top card of your library. You may put that card into your graveyard.)",Larder Zombie,
,,Creature — Human Wizard,{3}{U},,"Whenever you draw your second card each turn, put a +1/+1 counter on Lat-Nam Adept.",Lat-Nam Adept,
,,Creature — Phyrexian Insect,{3}{G},,"Lattice-Blade Mantis enters the battlefield with two oil counters on it.
Whenever Lattice-Blade Mantis attacks, you may remove an oil counter from it. If you do, untap it and it gets +1/+1 until end of turn.",Lattice-Blade Mantis,
,,Sorcery,{W},,Exile target creature with mana value less than or equal to the number of Plains you control. Its controller gains 3 life.,Lay Down Arms,
,,Creature — Elf Druid,{G}{G},,"Other Elves you control get +1/+1.
Whenever you cast an Elf spell, you may pay {G}. If you do, draw a card.",Leaf-Crowned Visionary,
,,Creature — Bird Advisor,{1}{U},,"Flying
Whenever a player casts their second spell each turn, Ledger Shredder connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)",Ledger Shredder,
,,Artifact Creature — Equipment Leech,{1}{B},,"Lifelink
Equipped creature has lifelink.
Reconfigure {4} ({4}: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)",Leech Gauntlet,
