type_line0,name0,name1,oracle_text0,power1,oracle_text1,toughness0,power0,mana_cost0,type_line1,toughness1,mana_cost1
Sorcery,Lingering Souls,,"Create two 1/1 white Spirit creature tokens with flying.
Flashback {1}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,,{2}{W},,,
Creature — Elf Druid,Llanowar Elves,,{T}: Add {G}.,,,1,1,{G},,,
Creature — Kor Rogue,Looter il-Kor,,"Shadow (This creature can block or be blocked by only creatures with shadow.)
Whenever Looter il-Kor deals damage to an opponent, draw a card, then discard a card.",,,1,1,{1}{U},,,
Creature — Snake,Lotus Cobra,,"Landfall — Whenever a land enters the battlefield under your control, add one mana of any color.",,,1,2,{1}{G},,,
Land,Lumbering Falls,,"Lumbering Falls enters the battlefield tapped.
{T}: Add {G} or {U}.
{2}{G}{U}: Lumbering Falls becomes a 3/3 green and blue Elemental creature with hexproof until end of turn. It's still a land.",,,,,,,,
Legendary Creature — Angel,Lyra Dawnbringer,,"Flying, first strike, lifelink
Other Angels you control get +1/+1 and have lifelink.",,,5,5,{3}{W}{W},,,
Sorcery,Maelstrom Pulse,,Destroy target nonland permanent and all other permanents with the same name as that permanent.,,,,,{1}{B}{G},,,
Instant,Magma Jet,,Magma Jet deals 2 damage to any target. Scry 2.,,,,,{1}{R},,,
Land,Mana Confluence,,"{T}, Pay 1 life: Add one mana of any color.",,,,,,,,
Creature — Hydra,Managorger Hydra,,"Trample
Whenever a player casts a spell, put a +1/+1 counter on Managorger Hydra.",,,1,1,{2}{G},,,
Instant,Mana Leak,,Counter target spell unless its controller pays {3}.,,,,,{1}{U},,,
Instant,Mana Tithe,,Counter target spell unless its controller pays {1}.,,,,,{W},,,
Creature — Human Warrior,Manic Vandal,,"When Manic Vandal enters the battlefield, destroy target artifact.",,,2,2,{2}{R},,,
Land,Marsh Flats,,"{T}, Pay 1 life, Sacrifice Marsh Flats: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle.",,,,,,,,
Sorcery,Martial Coup,,"Create X 1/1 white Soldier creature tokens. If X is 5 or more, destroy all other creatures.",,,,,{X}{W}{W},,,
Creature — Phyrexian Wurm,Massacre Wurm,,"When Massacre Wurm enters the battlefield, creatures your opponents control get -2/-2 until end of turn.
Whenever a creature an opponent controls dies, that player loses 2 life.",,,5,6,{3}{B}{B}{B},,,
Creature — Human Shaman,Master of the Wild Hunt,,"At the beginning of your upkeep, create a 2/2 green Wolf creature token.
{T}: Tap all untapped Wolf creatures you control. Each Wolf tapped this way deals damage equal to its power to target creature. That creature deals damage equal to its power divided as its controller chooses among any number of those Wolves.",,,3,3,{2}{G}{G},,,
Creature — Merfolk Wizard,Master of Waves,,"Protection from red
Elemental creatures you control get +1/+1.
When Master of Waves enters the battlefield, create a number of 1/0 blue Elemental creature tokens equal to your devotion to blue. (Each {U} in the mana costs of permanents you control counts toward your devotion to blue.)",,,1,2,{3}{U},,,
Legendary Creature — Moonfolk Wizard,Meloku the Clouded Mirror,,"Flying
{1}, Return a land you control to its owner's hand: Create a 1/1 blue Illusion creature token with flying.",,,4,2,{4}{U},,,
Creature — Zombie Knight,Midnight Reaper,,"Whenever a nontoken creature you control dies, Midnight Reaper deals 1 damage to you and you draw a card.",,,2,3,{2}{B},,,
Artifact,Mimic Vat,,"Imprint — Whenever a nontoken creature dies, you may exile that card. If you do, return each other card exiled with Mimic Vat to its owner's graveyard.
{3}, {T}: Create a token that's a copy of a card exiled with Mimic Vat. It gains haste. Exile it at the beginning of the next end step.",,,,,{3},,,
Enchantment — Aura,Mind Control,,"Enchant creature
You control enchanted creature.",,,,,{3}{U}{U},,,
Sorcery,Mind Shatter,,Target player discards X cards at random.,,,,,{X}{B}{B},,,
Artifact,Mind Stone,,"{T}: Add {C}.
{1}, {T}, Sacrifice Mind Stone: Draw a card.",,,,,{2},,,
Creature — Human Knight,Mirran Crusader,,"Double strike, protection from black and from green",,,2,2,{1}{W}{W},,,
Creature — Shapeshifter,Mirror Entity,,"Changeling (This card is every creature type.)
{X}: Until end of turn, creatures you control have base power and toughness X/X and gain all creature types.",,,1,1,{2}{W},,,
Land,Misty Rainforest,,"{T}, Pay 1 life, Sacrifice Misty Rainforest: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.",,,,,,,,
Sorcery,Mizzium Mortars,,"Mizzium Mortars deals 4 damage to target creature you don't control.
Overload {3}{R}{R}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")",,,,,{1}{R},,,
Creature — Human Monk,Monastery Mentor,,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever you cast a noncreature spell, create a 1/1 white Monk creature token with prowess.",,,2,2,{2}{W},,,
Creature — Human Monk,Monastery Swiftspear,,"Haste
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",,,2,1,{R},,,
Creature — Elemental,Mulldrifter,,"Flying
When Mulldrifter enters the battlefield, draw two cards.
Evoke {2}{U} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",,,2,2,{4}{U},,,
Instant,Murderous Cut,,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Destroy target creature.",,,,,{4}{B},,,
Creature — Goblin Assassin,Murderous Redcap,,"When Murderous Redcap enters the battlefield, it deals damage equal to its power to any target.
Persist (When this creature dies, if it had no -1/-1 counters on it, return it to the battlefield under its owner's control with a -1/-1 counter on it.)",,,2,2,{2}{B/R}{B/R},,,
Land,Mutavault,,"{T}: Add {C}.
{1}: Mutavault becomes a 2/2 creature with all creature types until end of turn. It's still a land.",,,,,,,,
Artifact Creature — Myr Construct,Myr Battlesphere,,"When Myr Battlesphere enters the battlefield, create four 1/1 colorless Myr artifact creature tokens.
Whenever Myr Battlesphere attacks, you may tap X untapped Myr you control. If you do, Myr Battlesphere gets +X/+0 until end of turn and deals X damage to the player or planeswalker it's attacking.",,,7,4,{7},,,
Legendary Planeswalker — Nahiri,"Nahiri, the Harbinger",,"+2: You may discard a card. If you do, draw a card.
-2: Exile target enchantment, tapped artifact, or tapped creature.
-8: Search your library for an artifact or creature card, put it onto the battlefield, then shuffle. It gains haste. Return it to your hand at the beginning of the next end step.",,,,,{2}{R}{W},,,
Legendary Planeswalker — Narset,"Narset, Parter of Veils",,"Each opponent can't draw more than one card each turn.
-2: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",,,,,{1}{U}{U},,,
Instant,Nature's Claim,,Destroy target artifact or enchantment. Its controller gains 4 life.,,,,,{G},,,
Land,Needle Spires,,"Needle Spires enters the battlefield tapped.
{T}: Add {R} or {W}.
{2}{R}{W}: Needle Spires becomes a 2/1 red and white Elemental creature with double strike until end of turn. It's still a land.",,,,,,,,
Instant,Negate,,Counter target noncreature spell.,,,,,{1}{U},,,
Sorcery,Never,Return,Destroy target creature or planeswalker.,,"Aftermath (Cast this spell only from your graveyard. Then exile it.)
Exile target card from a graveyard. Create a 2/2 black Zombie creature token.",,,{1}{B}{B},Sorcery,,{3}{B}
Legendary Planeswalker — Bolas,"Nicol Bolas, Dragon-God",,"Nicol Bolas, Dragon-God has all loyalty abilities of all other planeswalkers on the battlefield.
+1: You draw a card. Each opponent exiles a card from their hand or a permanent they control.
-3: Destroy target creature or planeswalker.
-8: Each opponent who doesn't control a legendary creature or planeswalker loses the game.",,,,,{U}{B}{B}{B}{R},,,
Sorcery,Night's Whisper,,You draw two cards and you lose 2 life.,,,,,{1}{B},,,
Creature — Specter,Nightveil Specter,,"Flying
Whenever Nightveil Specter deals combat damage to a player, that player exiles the top card of their library.
You may play lands and cast spells from among cards exiled with Nightveil Specter.",,,3,2,{U/B}{U/B}{U/B},,,
Creature — Bird Wizard,Nimble Obstructionist,,"Flash
Flying
Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)
When you cycle Nimble Obstructionist, counter target activated or triggered ability you don't control.",,,1,3,{2}{U},,,
Legendary Creature — Elf Scout,"Nissa, Vastwood Seer","Nissa, Sage Animist","When Nissa, Vastwood Seer enters the battlefield, you may search your library for a basic Forest card, reveal it, put it into your hand, then shuffle.
Whenever a land enters the battlefield under your control, if you control seven or more lands, exile Nissa, then return her to the battlefield transformed under her owner's control.",,"+1: Reveal the top card of your library. If it's a land card, put it onto the battlefield. Otherwise, put it into your hand.
-2: Create Ashaya, the Awoken World, a legendary 4/4 green Elemental creature token.
-7: Untap up to six target lands. They become 6/6 Elemental creatures. They're still lands.",2,2,{2}{G},Legendary Planeswalker — Nissa,,
Legendary Planeswalker — Nissa,"Nissa, Vital Force",,"+1: Untap target land you control. Until your next turn, it becomes a 5/5 Elemental creature with haste. It's still a land.
-3: Return target permanent card from your graveyard to your hand.
-6: You get an emblem with ""Whenever a land enters the battlefield under your control, you may draw a card.""",,,,,{3}{G}{G},,,
Legendary Planeswalker — Nissa,"Nissa, Voice of Zendikar",,"+1: Create a 0/1 green Plant creature token.
-2: Put a +1/+1 counter on each creature you control.
-7: You gain X life and draw X cards, where X is the number of lands you control.",,,,,{1}{G}{G},,,
Legendary Planeswalker — Nissa,"Nissa, Who Shakes the World",,"Whenever you tap a Forest for mana, add an additional {G}.
+1: Put three +1/+1 counters on up to one target noncreature land you control. Untap it. It becomes a 0/0 Elemental creature with vigilance and haste that's still a land.
-8: You get an emblem with ""Lands you control have indestructible."" Search your library for any number of Forest cards, put them onto the battlefield tapped, then shuffle.",,,,,{3}{G}{G},,,
Creature — Human Druid,Noble Hierarch,,"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
{T}: Add {G}, {W}, or {U}.",,,1,0,{G},,,
Artifact Creature — Construct,Noxious Gearhulk,,"Menace
When Noxious Gearhulk enters the battlefield, you may destroy another target creature. If a creature is destroyed this way, you gain life equal to its toughness.",,,4,5,{4}{B}{B},,,
Creature — Beast,Nullhide Ferox,,"Hexproof
You can't cast noncreature spells.
{2}: Nullhide Ferox loses all abilities until end of turn. Any player may activate this ability.
If a spell or ability an opponent controls causes you to discard Nullhide Ferox, put it onto the battlefield instead of putting it into your graveyard.",,,6,6,{2}{G}{G},,,
Legendary Land,"Nykthos, Shrine to Nyx",,"{T}: Add {C}.
{2}, {T}: Choose a color. Add an amount of mana of that color equal to your devotion to that color. (Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)",,,,,,,,
Enchantment,Oblivion Ring,,"When Oblivion Ring enters the battlefield, exile another target nonland permanent.
When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control.",,,,,{2}{W},,,
Artifact,Oblivion Stone,,"{4}, {T}: Put a fate counter on target permanent.
{5}, {T}, Sacrifice Oblivion Stone: Destroy each nonland permanent without a fate counter on it, then remove all fate counters from all permanents.",,,,,{3},,,
Legendary Planeswalker — Nixilis,Ob Nixilis Reignited,,"+1: You draw a card and you lose 1 life.
-3: Destroy target creature.
-8: Target opponent gets an emblem with ""Whenever a player draws a card, you lose 2 life.""",,,,,{3}{B}{B},,,
Creature — Beast,Obstinate Baloth,,"When Obstinate Baloth enters the battlefield, you gain 4 life.
If a spell or ability an opponent controls causes you to discard Obstinate Baloth, put it onto the battlefield instead of putting it into your graveyard.",,,4,4,{2}{G}{G},,,
Legendary Creature — Vampire,Olivia Voldaren,,"Flying
{1}{R}: Olivia Voldaren deals 1 damage to another target creature. That creature becomes a Vampire in addition to its other types. Put a +1/+1 counter on Olivia Voldaren.
{3}{B}{B}: Gain control of target Vampire for as long as you control Olivia Voldaren.",,,3,3,{2}{B}{R},,,
Instant,Opt,,"Scry 1.
Draw a card.",,,,,{U},,,
Creature — Elf Shaman,Oracle of Mul Daya,,"You may play an additional land on each of your turns.
Play with the top card of your library revealed.
You may play lands from the top of your library.",,,2,2,{3}{G},,,
Artifact,Orzhov Signet,,"{1}, {T}: Add {W}{B}.",,,,,{2},,,
Sorcery,Oust,,Put target creature into its owner's library second from the top. Its controller gains 3 life.,,,,,{W},,,
Enchantment,Outpost Siege,,"As Outpost Siege enters the battlefield, choose Khans or Dragons.
• Khans — At the beginning of your upkeep, exile the top card of your library. Until end of turn, you may play that card.
• Dragons — Whenever a creature you control leaves the battlefield, Outpost Siege deals 1 damage to any target.",,,,,{3}{R},,,
Creature — Wall,Overgrown Battlement,,"Defender
{T}: Add {G} for each creature you control with defender.",,,4,0,{1}{G},,,
Land — Swamp Forest,Overgrown Tomb,,"({T}: Add {B} or {G}.)
As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Sorcery,Overrun,,Creatures you control get +3/+3 and gain trample until end of turn.,,,,,{2}{G}{G}{G},,,
Creature — Rat,Pack Rat,,"Pack Rat's power and toughness are each equal to the number of Rats you control.
{2}{B}, Discard a card: Create a token that's a copy of Pack Rat.",,,*,*,{1}{B},,,
Instant,Pact of Negation,,"Counter target spell.
At the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game.",,,,,{0},,,
Instant,Path to Exile,,"Exile target creature. Its controller may search their library for a basic land card, put that card onto the battlefield tapped, then shuffle.",,,,,{W},,,
Creature — Faerie Rogue,Pestermite,,"Flash
Flying
When Pestermite enters the battlefield, you may tap or untap target permanent.",,,1,2,{2}{U},,,
Creature — Illusion,Phantasmal Image,,"You may have Phantasmal Image enter the battlefield as a copy of any creature on the battlefield, except it's an Illusion in addition to its other types and it has ""When this creature becomes the target of a spell or ability, sacrifice it.""",,,0,0,{1}{U},,,
Enchantment,Phyrexian Arena,,"At the beginning of your upkeep, you draw a card and you lose 1 life.",,,,,{1}{B}{B},,,
Artifact Creature — Phyrexian Shapeshifter,Phyrexian Metamorph,,"({U/P} can be paid with either {U} or 2 life.)
You may have Phyrexian Metamorph enter the battlefield as a copy of any artifact or creature on the battlefield, except it's an artifact in addition to its other types.",,,0,0,{3}{U/P},,,
Creature — Phyrexian Horror,Phyrexian Obliterator,,"Trample
Whenever a source deals damage to Phyrexian Obliterator, that source's controller sacrifices that many permanents.",,,5,5,{B}{B}{B}{B},,,
Artifact Creature — Phyrexian Horror,Phyrexian Revoker,,"As Phyrexian Revoker enters the battlefield, choose a nonland card name.
Activated abilities of sources with the chosen name can't be activated.",,,1,2,{2},,,
Legendary Creature — Human Artificer,Pia and Kiran Nalaar,,"When Pia and Kiran Nalaar enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.
{2}{R}, Sacrifice an artifact: Pia and Kiran Nalaar deals 2 damage to any target.",,,2,2,{2}{R}{R},,,
Legendary Creature — Human Artificer,Pia Nalaar,,"When Pia Nalaar enters the battlefield, create a 1/1 colorless Thopter artifact creature token with flying.
{1}{R}: Target artifact creature gets +1/+0 until end of turn.
{1}, Sacrifice an artifact: Target creature can't block this turn.",,,2,2,{2}{R},,,
Sorcery,Plow Under,,Put two target lands on top of their owners' libraries.,,,,,{3}{G}{G},,,
Land,Polluted Delta,,"{T}, Pay 1 life, Sacrifice Polluted Delta: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.",,,,,,,,
Legendary Creature — Hydra,"Polukranos, World Eater",,"{X}{X}{G}: Monstrosity X. (If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)
When Polukranos, World Eater becomes monstrous, it deals X damage divided as you choose among any number of target creatures your opponents control. Each of those creatures deals damage equal to its power to Polukranos.",,,5,5,{2}{G}{G},,,
Artifact Creature — Phyrexian Soldier,Porcelain Legionnaire,,"({W/P} can be paid with either {W} or 2 life.)
First strike",,,1,3,{2}{W/P},,,
Sorcery,Primal Command,,"Choose two —
• Target player gains 7 life.
• Put target noncreature permanent on top of its owner's library.
• Target player shuffles their graveyard into their library.
• Search your library for a creature card, reveal it, put it into your hand, then shuffle.",,,,,{3}{G}{G},,,
Legendary Creature — Elf Ooze Wizard,Prime Speaker Vannifar,,"{T}, Sacrifice another creature: Search your library for a creature card with mana value equal to 1 plus the sacrificed creature's mana value, put that card onto the battlefield, then shuffle. Activate only as a sorcery.",,,4,2,{2}{G}{U},,,
Creature — Giant,Primeval Titan,,"Trample
Whenever Primeval Titan enters the battlefield or attacks, you may search your library for up to two land cards, put them onto the battlefield tapped, then shuffle.",,,6,6,{4}{G}{G},,,
Land,Prismatic Vista,,"{T}, Pay 1 life, Sacrifice Prismatic Vista: Search your library for a basic land card, put it onto the battlefield, then shuffle.",,,,,,,,
Sorcery,Profane Command,,"Choose two —
• Target player loses X life.
• Return target creature card with mana value X or less from your graveyard to the battlefield.
• Target creature gets -X/-X until end of turn.
• Up to X target creatures gain fear until end of turn. (They can't be blocked except by artifact creatures and/or black creatures.)",,,,,{X}{B}{B},,,
Creature — Shapeshifter,Progenitor Mimic,,"You may have Progenitor Mimic enter the battlefield as a copy of any creature on the battlefield, except it has ""At the beginning of your upkeep, if this creature isn't a token, create a token that's a copy of this creature.""",,,0,0,{4}{G}{U},,,
Creature — Human Wizard,Prophet of Kruphix,,"Untap all creatures and lands you control during each other player's untap step.
You may cast creature spells as though they had flash.",,,3,2,{3}{G}{U},,,
Creature — Salamander Drake,Pteramander,,"Flying
{7}{U}: Adapt 4. This ability costs {1} less to activate for each instant and sorcery card in your graveyard. (If this creature has no +1/+1 counters on it, put four +1/+1 counters on it.)",,,1,1,{U},,,
Instant,Pull from Tomorrow,,"Draw X cards, then discard a card.",,,,,{X}{U}{U},,,
Legendary Enchantment Creature — God,"Purphoros, God of the Forge",,"Indestructible
As long as your devotion to red is less than five, Purphoros isn't a creature.
Whenever another creature enters the battlefield under your control, Purphoros deals 2 damage to each opponent.
{2}{R}: Creatures you control get +1/+0 until end of turn.",,,5,6,{3}{R},,,
Artifact,Pyrite Spellbomb,,"{R}, Sacrifice Pyrite Spellbomb: It deals 2 damage to any target.
{1}, Sacrifice Pyrite Spellbomb: Draw a card.",,,,,{1},,,
Sorcery,Pyroclasm,,Pyroclasm deals 2 damage to each creature.,,,,,{1}{R},,,
Enchantment,Quarantine Field,,"Quarantine Field enters the battlefield with X isolation counters on it.
When Quarantine Field enters the battlefield, for each isolation counter on it, exile up to one target nonland permanent an opponent controls until Quarantine Field leaves the battlefield.",,,,,{X}{X}{W}{W},,,
Land,Raging Ravine,,"Raging Ravine enters the battlefield tapped.
{T}: Add {R} or {G}.
{2}{R}{G}: Until end of turn, Raging Ravine becomes a 3/3 red and green Elemental creature with ""Whenever this creature attacks, put a +1/+1 counter on it."" It's still a land.",,,,,,,,
Artifact,Rakdos Signet,,"{1}, {T}: Add {B}{R}.",,,,,{2},,,
Sorcery,Rakdos's Return,,Rakdos's Return deals X damage to target opponent or planeswalker. That player or that planeswalker's controller discards X cards.,,,,,{X}{B}{R},,,
Legendary Planeswalker — Ral,"Ral, Izzet Viceroy",,"+1: Look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.
-3: Ral, Izzet Viceroy deals damage to target creature equal to the total number of instant and sorcery cards you own in exile and in your graveyard.
-8: You get an emblem with ""Whenever you cast an instant or sorcery spell, this emblem deals 4 damage to any target and you draw two cards.""",,,,,{3}{U}{R},,,
Creature — Beast,Rampaging Baloths,,"Trample
Landfall — Whenever a land enters the battlefield under your control, you may create a 4/4 green Beast creature token.",,,6,6,{4}{G}{G},,,
Creature — Dinosaur,Rampaging Ferocidon,,"Menace
Players can't gain life.
Whenever another creature enters the battlefield, Rampaging Ferocidon deals 1 damage to that creature's controller.",,,3,3,{2}{R},,,
Sorcery,Rampant Growth,,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",,,,,{1}{G},,,
Creature — Human Soldier Ranger,Ranger of Eos,,"When Ranger of Eos enters the battlefield, you may search your library for up to two creature cards with mana value 1 or less, reveal them, put them into your hand, then shuffle.",,,2,3,{3}{W},,,
Legendary Creature — Elf Druid,"Rashmi, Eternities Crafter",,"Whenever you cast your first spell each turn, reveal the top card of your library. You may cast it without paying its mana cost if it's a spell with lesser mana value. If you don't cast it, put it into your hand.",,,3,2,{2}{G}{U},,,
Creature — Human Shaman,Rattleclaw Mystic,,"{T}: Add {G}, {U}, or {R}.
Morph {2} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When Rattleclaw Mystic is turned face up, add {G}{U}{R}.",,,1,2,{1}{G},,,
Creature — Beast Horror,Ravenous Chupacabra,,"When Ravenous Chupacabra enters the battlefield, destroy target creature an opponent controls.",,,2,2,{2}{B}{B},,,
Land,Razorverge Thicket,,"Razorverge Thicket enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {G} or {W}.",,,,,,,,
Sorcery,Read the Bones,,"Scry 2, then draw two cards. You lose 2 life.",,,,,{2}{B},,,
Creature — Elf Shaman,Reclamation Sage,,"When Reclamation Sage enters the battlefield, you may destroy target artifact or enchantment.",,,1,2,{2}{G},,,
Land,Reflecting Pool,,{T}: Add one mana of any type that a land you control could produce.,,,,,,,,
Creature — Human Wizard,Reflector Mage,,"When Reflector Mage enters the battlefield, return target creature an opponent controls to its owner's hand. That creature's owner can't cast spells with the same name as that creature until your next turn.",,,3,2,{1}{W}{U},,,
Creature — Phoenix,Rekindling Phoenix,,"Flying
When Rekindling Phoenix dies, create a 0/1 red Elemental creature token with ""At the beginning of your upkeep, sacrifice this creature and return target card named Rekindling Phoenix from your graveyard to the battlefield. It gains haste until end of turn.""",,,3,4,{2}{R}{R},,,
Instant,Remand,,"Counter target spell. If that spell is countered this way, put it into its owner's hand instead of into that player's graveyard.
Draw a card.",,,,,{1}{U},,,
Creature — Spirit Cleric,Remorseful Cleric,,"Flying
Sacrifice Remorseful Cleric: Exile target player's graveyard.",,,1,2,{1}{W},,,
Instant,Repeal,,"Return target nonland permanent with mana value X to its owner's hand.
Draw a card.",,,,,{X}{U},,,
Creature — Angel,Restoration Angel,,"Flash
Flying
When Restoration Angel enters the battlefield, you may exile target non-Angel creature you control, then return that card to the battlefield under your control.",,,4,3,{3}{W},,,
Creature — Elemental,Reveillark,,"Flying
When Reveillark leaves the battlefield, return up to two target creature cards with power 2 or less from your graveyard to the battlefield.
Evoke {5}{W} (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)",,,3,4,{4}{W},,,
Legendary Creature — God,Rhonas the Indomitable,,"Deathtouch, indestructible
Rhonas the Indomitable can't attack or block unless you control another creature with power 4 or greater.
{2}{G}: Another target creature gets +2/+0 and gains trample until end of turn.",,,5,5,{2}{G},,,
Creature — Illusion,Riftwing Cloudskate,,"Flying
When Riftwing Cloudskate enters the battlefield, return target permanent to its owner's hand.
Suspend 3—{1}{U} (Rather than cast this card from your hand, you may pay {1}{U} and exile it with three time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)",,,2,2,{3}{U}{U},,,
Sorcery,Roast,,Roast deals 5 damage to target creature without flying.,,,,,{1}{R},,,
Land,Rootbound Crag,,"Rootbound Crag enters the battlefield tapped unless you control a Mountain or a Forest.
{T}: Add {R} or {G}.",,,,,,,,
Creature — Zombie Dinosaur,Rotting Regisaur,,"At the beginning of your upkeep, discard a card.",,,6,7,{2}{B},,,
Land — Mountain Plains,Sacred Foundry,,"({T}: Add {R} or {W}.)
As Sacred Foundry enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped.",,,,,,,,
Legendary Planeswalker — Saheeli,Saheeli Rai,,"+1: Scry 1. Saheeli Rai deals 1 damage to each opponent.
-2: Create a token that's a copy of target artifact or creature you control, except it's an artifact in addition to its other types. That token gains haste. Exile it at the beginning of the next end step.
-7: Search your library for up to three artifact cards with different names, put them onto the battlefield, then shuffle.",,,,,{1}{U}{R},,,
Creature — Snake Shaman,Sakura-Tribe Elder,,"Sacrifice Sakura-Tribe Elder: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.",,,1,1,{1}{G},,,
Legendary Planeswalker — Sarkhan,Sarkhan the Masterless,,"Whenever a creature attacks you or a planeswalker you control, each Dragon you control deals 1 damage to that creature.
+1: Until end of turn, each planeswalker you control becomes a 4/4 red Dragon creature and gains flying.
-3: Create a 4/4 red Dragon creature token with flying.",,,,,{3}{R}{R},,,
Land,Scalding Tarn,,"{T}, Pay 1 life, Sacrifice Scalding Tarn: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle.",,,,,,,,
Creature — Ooze,Scavenging Ooze,,"{G}: Exile target card from a graveyard. If it was a creature card, put a +1/+1 counter on Scavenging Ooze and you gain 1 life.",,,2,2,{1}{G},,,
Artifact Creature — Construct,Scrapheap Scrounger,,"Scrapheap Scrounger can't block.
{1}{B}, Exile another creature card from your graveyard: Return Scrapheap Scrounger from your graveyard to the battlefield.",,,2,3,{2},,,
Land,Seachrome Coast,,"Seachrome Coast enters the battlefield tapped unless you control two or fewer other lands.
{T}: Add {W} or {U}.",,,,,,,,
Creature — Human Wizard,Sea Gate Oracle,,"When Sea Gate Oracle enters the battlefield, look at the top two cards of your library. Put one of them into your hand and the other on the bottom of your library.",,,3,1,{2}{U},,,
Legendary Enchantment,Search for Azcanta,"Azcanta, the Sunken Ruin","At the beginning of your upkeep, surveil 1. Then if you have seven or more cards in your graveyard, you may transform Search for Azcanta. (Look at the top card of your library. You may put that card into your graveyard.)",,"(Transforms from Search for Azcanta.)
{T}: Add {U}.
{2}{U}, {T}: Look at the top four cards of your library. You may reveal a noncreature, nonland card from among them and put it into your hand. Put the rest on the bottom of your library in any order.",,,{1}{U},Legendary Land,,
Sorcery,Search for Tomorrow,,"Search your library for a basic land card, put it onto the battlefield, then shuffle.
Suspend 2—{G} (Rather than cast this card from your hand, you may pay {G} and exile it with two time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost.)",,,,,{2}{G},,,
Instant,Searing Blaze,,"Searing Blaze deals 1 damage to target player or planeswalker and 1 damage to target creature that player or that planeswalker's controller controls.
Landfall — If you had a land enter the battlefield under your control this turn, Searing Blaze deals 3 damage to that player or planeswalker and 3 damage to that creature instead.",,,,,{R}{R},,,
Creature — Human Shaman,Seasoned Pyromancer,,"When Seasoned Pyromancer enters the battlefield, discard two cards, then draw two cards. For each nonland card discarded this way, create a 1/1 red Elemental creature token.
{3}{R}{R}, Exile Seasoned Pyromancer from your graveyard: Create two 1/1 red Elemental creature tokens.",,,2,2,{1}{R}{R},,,
Artifact,Selesnya Signet,,"{1}, {T}: Add {G}{W}.",,,,,{2},,,
Creature — Spirit Cleric,Selfless Spirit,,"Flying
Sacrifice Selfless Spirit: Creatures you control gain indestructible until end of turn.",,,1,2,{1}{W},,,
Sorcery,Serum Visions,,Draw a card. Scry 2.,,,,,{U},,,
Instant,Settle the Wreckage,,"Exile all attacking creatures target player controls. That player may search their library for that many basic land cards, put those cards onto the battlefield tapped, then shuffle.",,,,,{2}{W}{W},,,
Land,Shambling Vent,,"Shambling Vent enters the battlefield tapped.
{T}: Add {W} or {B}.
{1}{W}{B}: Shambling Vent becomes a 2/3 white and black Elemental creature with lifelink until end of turn. It's still a land.",,,,,,,,
Land,Shelldock Isle,,"Hideaway 4 (When this land enters the battlefield, look at the top four cards of your library, exile one face down, then put the rest on the bottom in a random order.)
Shelldock Isle enters the battlefield tapped.
{T}: Add {U}.
{U}, {T}: You may play the exiled card without paying its mana cost if a library has twenty or fewer cards in it.",,,,,,,,
Legendary Creature — Phyrexian Praetor,"Sheoldred, Whispering One",,"Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
At the beginning of your upkeep, return target creature card from your graveyard to the battlefield.
At the beginning of each opponent's upkeep, that player sacrifices a creature.",,,6,6,{5}{B}{B},,,
Instant,Shivan Fire,,"Kicker {4} (You may pay an additional {4} as you cast this spell.)
Shivan Fire deals 2 damage to target creature. If this spell was kicked, it deals 4 damage instead.",,,,,{R},,,
